"subject_id","activity_id","t_body_acc_mean_x","t_body_acc_mean_y","t_body_acc_mean_z","t_body_acc_std_x","t_body_acc_std_y","t_body_acc_std_z","t_gravity_acc_mean_x","t_gravity_acc_mean_y","t_gravity_acc_mean_z","t_gravity_acc_std_x","t_gravity_acc_std_y","t_gravity_acc_std_z","t_body_gyro_mean_x","t_body_gyro_mean_y","t_body_gyro_mean_z","t_body_gyro_std_x","t_body_gyro_std_y","t_body_gyro_std_z","f_body_acc_mean_x","f_body_acc_mean_y","f_body_acc_mean_z","f_body_acc_std_x","f_body_acc_std_y","f_body_acc_std_z","f_body_gyro_mean_x","f_body_gyro_mean_y","f_body_gyro_mean_z","f_body_gyro_std_x","f_body_gyro_std_y","f_body_gyro_std_z"
2,"standing",0.25717778,-0.02328523,-0.014653762,-0.938404,-0.92009078,-0.66768331,0.93648925,-0.28271916,0.11528825,-0.92542727,-0.93701413,-0.56428842,0.11997616,-0.091792335,0.18962854,-0.88308911,-0.8161636,-0.94088123,-0.91850969,-0.91821319,-0.78909145,-0.94829035,-0.92513687,-0.63631674,-0.82355788,-0.80791598,-0.91791256,-0.90326274,-0.822677,-0.95616508
2,"standing",0.28602671,-0.013163359,-0.11908252,-0.97541469,-0.9674579,-0.94495817,0.92740359,-0.28921515,0.15256831,-0.98905711,-0.9838872,-0.96478113,-0.0015524629,-0.18729119,0.18070522,-0.92556647,-0.9295992,-0.96758097,-0.96090303,-0.96443332,-0.95667485,-0.98434996,-0.97017476,-0.94186191,-0.92251305,-0.92649565,-0.96822947,-0.92705058,-0.93201069,-0.97014338
2,"standing",0.27548482,-0.02605042,-0.11815167,-0.99381904,-0.96992551,-0.96274798,0.92991503,-0.28751284,0.14608559,-0.9959365,-0.98825055,-0.98157964,-0.048212671,-0.16627974,0.15417437,-0.97298823,-0.97851062,-0.97564834,-0.99190627,-0.96503362,-0.96689961,-0.99475367,-0.97369585,-0.96228657,-0.9728456,-0.98083326,-0.97206022,-0.97319788,-0.97719446,-0.97909527
2,"standing",0.27029822,-0.032613869,-0.11752018,-0.99474279,-0.97326761,-0.96709068,0.92888137,-0.29339576,0.14292592,-0.99313918,-0.97041923,-0.99159167,-0.056641577,-0.12601846,0.11833718,-0.96779046,-0.9751338,-0.9632327,-0.99302982,-0.9682839,-0.96691156,-0.99559355,-0.97691756,-0.96895787,-0.97150165,-0.98134496,-0.96670552,-0.96718562,-0.97190942,-0.96527548
2,"standing",0.27483295,-0.027847788,-0.12952716,-0.99385248,-0.96744548,-0.97829499,0.92659966,-0.30296094,0.13830674,-0.99557462,-0.97096035,-0.96808532,-0.059992128,-0.08472343,0.078659262,-0.97465605,-0.97795105,-0.96762872,-0.99240425,-0.96920715,-0.97965265,-0.99450372,-0.96746811,-0.97823994,-0.97640453,-0.98040426,-0.96878202,-0.97439786,-0.9765654,-0.97001655
2,"standing",0.27921995,-0.018620399,-0.11390197,-0.99445523,-0.97041688,-0.96531629,0.92566317,-0.30893973,0.1305608,-0.99884225,-0.99073872,-0.97123186,-0.039697949,-0.066828493,0.070547316,-0.97987841,-0.97646279,-0.96346168,-0.99384268,-0.97072928,-0.97557712,-0.99464709,-0.97101596,-0.96144375,-0.97970341,-0.98052611,-0.96020643,-0.98001461,-0.97424691,-0.96781629
2,"standing",0.27974586,-0.018271026,-0.10399988,-0.99581919,-0.97635361,-0.97772468,0.92613663,-0.30956386,0.12856658,-0.9974362,-0.99656801,-0.98820362,-0.03287449,-0.065186851,0.080700108,-0.98963172,-0.9838623,-0.97276516,-0.99537972,-0.97555993,-0.98107144,-0.99594218,-0.97718677,-0.97650662,-0.9868077,-0.98654614,-0.97459428,-0.99046595,-0.98233966,-0.97445871
2,"standing",0.27460055,-0.02503513,-0.11683085,-0.99559442,-0.98206892,-0.98526237,0.92658621,-0.3107735,0.12958012,-0.99739076,-0.98755709,-0.98979864,-0.028869854,-0.068346001,0.087116675,-0.99434551,-0.99243952,-0.98984746,-0.99517743,-0.98208507,-0.98707442,-0.99570067,-0.98207814,-0.9843464,-0.99201423,-0.99322434,-0.98579928,-0.99507937,-0.99190954,-0.99252828
2,"standing",0.27252874,-0.020954013,-0.11447249,-0.99678413,-0.97590627,-0.98659699,0.92555526,-0.31573741,0.12642607,-0.99514632,-0.98097747,-0.98127764,-0.024364328,-0.066695221,0.077032498,-0.99678549,-0.99530106,-0.99298656,-0.99647166,-0.9800731,-0.99040235,-0.99685732,-0.97423105,-0.98439586,-0.99480877,-0.99573837,-0.99304645,-0.99749001,-0.99496121,-0.99347137
2,"standing",0.2757457,-0.010371994,-0.09977589,-0.99837313,-0.98693291,-0.9910219,0.92417336,-0.3175966,0.1245839,-0.99800172,-0.98939331,-0.99196835,-0.022462359,-0.068363863,0.076694399,-0.99639305,-0.99343897,-0.99089631,-0.99731998,-0.98683408,-0.99128545,-0.99900639,-0.98669452,-0.99064255,-0.99435441,-0.99381065,-0.98994957,-0.9970974,-0.99315328,-0.99197583
